source_entry_id,source_headword,source_volume,ordinal,raw_target,raw_context,status,target_entry_id,target_headword,target_volume,match_words,redirect_hops,suffix_stripped
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,1,Seienden,Seienden durch ein anderes,deinflected,Bd07_Re-Te:0332:0267,"Seiende, das",Bd07_Re-Te,1,0,n
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,2,Absoluten,"Absoluten, d",deinflected,Bd01_A-B:0039:0026,"Absolute, das",Bd01_A-B,1,0,n
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,3,a,"a se, durch ein anderes Seiendes, nämlich dieses absolute Sei",same_volume,Bd01_A-B:0274:0370,a se,Bd01_A-B,2,0,
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,4,Akzidens,"Akzidens, in se, d",same_volume,Bd01_A-B:0090:0113,Akzidens,Bd01_A-B,1,0,
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,5,Substanz,Substanz,cross_volume,Bd07_Re-Te:0596:0491,Substanz,Bd07_Re-Te,1,0,
Bd01_A-B:0028:0004,Abano,Bd01_A-B,0,Aristotelismus,Aristotelismus aus,same_volume,Bd01_A-B:0245:0345,Aristotelismus,Bd01_A-B,1,0,
Bd01_A-B:0028:0004,Abano,Bd01_A-B,1,Astrologie,Astrologie,same_volume,Bd01_A-B:0291:0382,Astrologie,Bd01_A-B,1,0,
Bd01_A-B:0028:0005,Abbagnano,Bd01_A-B,0,Existenzphilosophie,Existenzphilosophie,cross_volume,Bd02_C-F:0468:0517,Existenzphilosophie,Bd02_C-F,1,0,
Bd01_A-B:0028:0005,Abbagnano,Bd01_A-B,1,Existenz,"Existenz an, die er als Problemhaftigkeit und ursprüngliche",cross_volume,Bd02_C-F:0466:0512,Existenz,Bd02_C-F,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,0,Abbildung,Abbildung (engl,same_volume,Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,1,Funktion,Funktion statt von einer Abbildung und nennt ein Urbild dann ein Arg,cross_volume,Bd02_C-F:0608:0652,Funktion,Bd02_C-F,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,2,Argument,Argument (logisch,same_volume,Bd01_A-B:0225:0328,Argument (logisch),Bd01_A-B,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,3,Wert,Wert (logisch,cross_volume,Bd08_Th-Z:0482:0455,Wert (logisch),Bd08_Th-Z,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,4,Paradigma,Paradigma,cross_volume,Bd06_O-Ra:0108:0086,Paradigma,Bd06_O-Ra,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,5,Ding,Ding,cross_volume,Bd02_C-F:0234:0255,Ding,Bd02_C-F,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,6,Neuplatonismus,Neuplatonismus Plotins wird dieses zur Teilhabe (,cross_volume,Bd05_Log-N:0563:0449,Neuplatonismus,Bd05_Log-N,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,7,Methexis,Methexis,cross_volume,Bd05_Log-N:0399:0287,Methexis,Bd05_Log-N,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,8,Idee,Idee (historisch,cross_volume,Bd03_G-Inn:0534:0386,Idee (historisch),Bd03_G-Inn,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,9,Mimesis,Mimesis,cross_volume,Bd05_Log-N:0423:0315,Mimesis,Bd05_Log-N,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,10,Wahrnehmung,Wahrnehmung (wobei auch das Denken als eine Art Wahrnehmung gilt,cross_volume,Bd08_Th-Z:0414:0401,Wahrnehmung,Bd08_Th-Z,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,11,Epikureismus,Epikureismus,cross_volume,Bd02_C-F:0369:0426,Epikureismus,Bd02_C-F,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,12,Bildchentheorie,"Bildchentheorie entworfen, nach der die Einzeldinge sinnenspezifische feins",same_volume,Bd01_A-B:0490:0615,Bildchentheorie,Bd01_A-B,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,13,Abbildtheorie,Abbildtheorie,same_volume,Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,14,type,type and token,cross_volume,Bd08_Th-Z:0158:0108,type and token,Bd08_Th-Z,3,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,15,Semantik,Semantik,cross_volume,Bd07_Re-Te:0354:0283,Semantik,Bd07_Re-Te,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,16,Optik,"Optik, ist das A",cross_volume,Bd06_O-Ra:0064:0044,Optik,Bd06_O-Ra,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,17,Repräsentation,Repräsentation – sei sie extramentale Darstellung (,cross_volume,Bd07_Re-Te:0124:0094,Repräsentation,Bd07_Re-Te,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,18,repraesentatio,repraesentatio,cross_volume,Bd07_Re-Te:0123:0091,repraesentatio,Bd07_Re-Te,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,19,Repräsentation,"Repräsentation, mentale",cross_volume,Bd07_Re-Te:0125:0095,"Repräsentation, mentale",Bd07_Re-Te,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,20,Zeichen,Zeichen (logisch,cross_volume,Bd08_Th-Z:0663:0583,Zeichen (logisch),Bd08_Th-Z,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,21,Zeichen,Zeichen (semiotisch,cross_volume,Bd08_Th-Z:0665:0584,Zeichen (semiotisch),Bd08_Th-Z,2,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,22,Darstellung,Darstellung (logischmengentheoretisch,ambiguous,,,,1,0,
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,23,Bildes,Bildes auseinander (,deinflected,Bd01_A-B:0486:0613,Bild,Bd01_A-B,1,0,es
Bd01_A-B:0029:0006,Abbild,Bd01_A-B,24,Bildtheorie,Bildtheorie,same_volume,Bd01_A-B:0486:0613,Bild,Bd01_A-B,1,1,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,0,Erkenntnis,Erkenntnis,cross_volume,Bd02_C-F:0393:0448,Erkenntnis,Bd02_C-F,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,1,Realismus,Realismus (erkenntnistheoretisch,cross_volume,Bd07_Re-Te:0023:0006,Realismus (erkenntnistheoretisch),Bd07_Re-Te,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,2,Realität,Realität,cross_volume,Bd07_Re-Te:0035:0012,Realität,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,3,Abbildung,"Abbildung der Außenwelt in die Innenwelt stattfindet, so daß ein",same_volume,Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,4,Abbild,Abbild eines Weltausschnitts als dessen,same_volume,Bd01_A-B:0029:0006,Abbild,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,5,Repräsentation,Repräsentation (,cross_volume,Bd07_Re-Te:0124:0094,Repräsentation,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,6,Repräsentation,"Repräsentation, mentale",cross_volume,Bd07_Re-Te:0125:0095,"Repräsentation, mentale",Bd07_Re-Te,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,7,Wahrheitstheorie,Wahrheitstheorie ist stets eine Korrespondenztheorie der,unresolved,,,,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,8,Wahrheit,Wahrheit (adaequatio rei et intellectus,cross_volume,Bd08_Th-Z:0395:0387,Wahrheit,Bd08_Th-Z,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,9,Zeichen,Zeichen (logisch,cross_volume,Bd08_Th-Z:0663:0583,Zeichen (logisch),Bd08_Th-Z,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,10,Zeichen,Zeichen (semiotisch,cross_volume,Bd08_Th-Z:0665:0584,Zeichen (semiotisch),Bd08_Th-Z,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,11,Ideenlehre,Ideenlehre Platons zurück und wird nicht immer zum Typus von A,cross_volume,Bd03_G-Inn:0543:0391,Ideenlehre,Bd03_G-Inn,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,12,Anschauung,Anschauung (,same_volume,Bd01_A-B:0168:0234,Anschauung,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,13,Anschauung,"Anschauung, intellektuelle",same_volume,Bd01_A-B:0170:0235,"Anschauung, intellektuelle",Bd01_A-B,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,14,Idee,Idee (historisch,cross_volume,Bd03_G-Inn:0534:0386,Idee (historisch),Bd03_G-Inn,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,15,Paradigma,Paradigma,cross_volume,Bd06_O-Ra:0108:0086,Paradigma,Bd06_O-Ra,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,16,Ding,Ding,cross_volume,Bd02_C-F:0234:0255,Ding,Bd02_C-F,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,17,objektiv/Objektivität,objektiv/Objektivität,slash_half,Bd06_O-Ra:0027:0008,objektiv/Objektivität,Bd06_O-Ra,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,18,Sprache,"Sprache einerseits dinglich, andererseits tätig ist – wie Ball und",cross_volume,Bd07_Re-Te:0498:0413,Sprache,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,19,Eigenname,Eigenname,cross_volume,Bd02_C-F:0298:0337,Eigenname,Bd02_C-F,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,20,Phantasie,Phantasie,cross_volume,Bd06_O-Ra:0203:0178,Phantasie,Bd06_O-Ra,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,21,Sprache,Sprache des Denkens,cross_volume,Bd07_Re-Te:0506:0418,Sprache des Denkens,Bd07_Re-Te,3,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,22,Mentalismus,Mentalismus,cross_volume,Bd05_Log-N:0359:0255,Mentalismus,Bd05_Log-N,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,23,Universalien,Universalien,cross_volume,Bd08_Th-Z:0211:0170,Universalien,Bd08_Th-Z,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,24,type,type and token,cross_volume,Bd08_Th-Z:0158:0108,type and token,Bd08_Th-Z,3,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,25,Idee,"Idee, angeborene",cross_volume,Bd03_G-Inn:0541:0389,"Idee, angeborene",Bd03_G-Inn,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,26,Sensualismus,Sensualismus,cross_volume,Bd07_Re-Te:0379:0297,Sensualismus,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,27,Sinnesdaten,"Sinnesdaten, also den durch (sinnliche",cross_volume,Bd07_Re-Te:0410:0336,Sinnesdaten,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,28,Qualität,Qualität,cross_volume,Bd06_O-Ra:0550:0432,Qualität,Bd06_O-Ra,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,29,Materialismus,Materialismus (systematisch,cross_volume,Bd05_Log-N:0263:0187,Materialismus (systematisch),Bd05_Log-N,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,30,Epikureismus,Epikureismus,cross_volume,Bd02_C-F:0369:0426,Epikureismus,Bd02_C-F,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,31,Bildchentheorie,Bildchentheorie,same_volume,Bd01_A-B:0490:0615,Bildchentheorie,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,32,Widerspiegelungstheorie,Widerspiegelungstheorie ist das Kernstück der Erkenntnistheorie auch im modernen Ma,cross_volume,Bd08_Th-Z:0511:0485,Widerspiegelungstheorie,Bd08_Th-Z,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,33,Philosophie,"Philosophie, marxistische",cross_volume,Bd06_O-Ra:0295:0210,"Philosophie, marxistische",Bd06_O-Ra,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,34,Philosophie,"Philosophie, analytische",cross_volume,Bd06_O-Ra:0222:0190,"Philosophie, analytische",Bd06_O-Ra,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,35,Sprachkritik,Sprachkritik,cross_volume,Bd07_Re-Te:0509:0422,Sprachkritik,Bd07_Re-Te,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,36,Realismus,Realismus (ontologisch,cross_volume,Bd07_Re-Te:0025:0007,Realismus (ontologisch),Bd07_Re-Te,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,37,isomorph/Isomorphie,isomorph/Isomorphie,slash_half,Bd04_Ins-Loc:0100:0055,isomorph/Isomorphie,Bd04_Ins-Loc,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,38,Empirismus,"Empirismus, logischer",cross_volume,Bd02_C-F:0339:0390,"Empirismus, logischer",Bd02_C-F,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,39,Abstraktion,Abstraktion,same_volume,Bd01_A-B:0045:0033,Abstraktion,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,40,Bedeutung,"Bedeutung sprachlicher Ausdrücke, bei der Eigenschaften und Beziehung",same_volume,Bd01_A-B:0401:0504,Bedeutung,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,41,Abstraktum,Abstraktum,same_volume,Bd01_A-B:0049:0037,Abstraktum,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,42,Realismus,"Realismus, kritischer",cross_volume,Bd07_Re-Te:0030:0009,"Realismus, kritischer",Bd07_Re-Te,2,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,43,Außenwelt,"Außenwelt, aber ihre Erkenntnis wird durch subjektive Faktoren des Er",same_volume,Bd01_A-B:0331:0424,Außenwelt,Bd01_A-B,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,44,Handlung,Handlung,cross_volume,Bd03_G-Inn:0291:0223,Handlung,Bd03_G-Inn,1,0,
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,45,Tatsachen,Tatsachen aufgrund von Aussagen über Gegenstände (,deinflected,Bd07_Re-Te:0677:0585,Tatsache,Bd07_Re-Te,1,0,n
Bd01_A-B:0030:0007,Abbildtheorie,Bd01_A-B,46,Prädikation,Prädikation,cross_volume,Bd06_O-Ra:0414:0300,Prädikation,Bd06_O-Ra,1,0,
Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,0,Darstellung,Darstellung (semiotisch,cross_volume,Bd02_C-F:0135:0156,Darstellung (semiotisch),Bd02_C-F,2,0,
Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,1,Funktion,Funktion,cross_volume,Bd02_C-F:0608:0652,Funktion,Bd02_C-F,1,0,
Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,2,Relation,Relation,cross_volume,Bd07_Re-Te:0085:0069,Relation,Bd07_Re-Te,1,0,
Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,3,Funktion,Funktion,cross_volume,Bd02_C-F:0608:0652,Funktion,Bd02_C-F,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,0,Mittelbegriff,Mittelbegriff im Sinne der,cross_volume,Bd05_Log-N:0433:0330,Mittelbegriff,Bd05_Log-N,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,1,Syllogistik,"Syllogistik, z",cross_volume,Bd07_Re-Te:0622:0531,Syllogistik,Bd07_Re-Te,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,2,Schluß,Schluß,cross_volume,Bd07_Re-Te:0280:0227,Schluß,Bd07_Re-Te,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,3,Untersatz,Untersatz,cross_volume,Bd08_Th-Z:0234:0192,Untersatz,Bd08_Th-Z,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,4,Syllogistik,Syllogistik,cross_volume,Bd07_Re-Te:0622:0531,Syllogistik,Bd07_Re-Te,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,5,Prämissen,Prämissen,deinflected,Bd06_O-Ra:0436:0316,Prämisse,Bd06_O-Ra,1,0,n
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,6,Beweis,Beweis (PπόδεØξØς,same_volume,Bd01_A-B:0465:0583,Beweis,Bd01_A-B,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,7,reductio,"reductio ad absurdum (PπÆªøªx εkς τ2 PδύνÆτον, an",cross_volume,Bd07_Re-Te:0044:0022,reductio ad absurdum,Bd07_Re-Te,3,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,8,Apagoge,Apagoge,same_volume,Bd01_A-B:0197:0277,Apagoge,Bd01_A-B,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,9,Beweis,"Beweis, indirekter",same_volume,Bd01_A-B:0469:0585,"Beweis, indirekter",Bd01_A-B,2,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,10,Barbara,"Barbara, also an",same_volume,Bd01_A-B:0374:0476,Barbara,Bd01_A-B,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,11,Deduktion,Deduktion als dem,cross_volume,Bd02_C-F:0147:0165,Deduktion,Bd02_C-F,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,12,analytischen,"analytischen Schlußverfahren, das von",deinflected,Bd01_A-B:0148:0201,analytisch,Bd01_A-B,1,0,en
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,13,synthetische,"synthetische und damit erkenntniserweiternde Schlußverfahren gegenüber,",deinflected,Bd07_Re-Te:0649:0557,synthetisch,Bd07_Re-Te,1,0,e
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,14,Induktion,Induktion von,cross_volume,Bd03_G-Inn:0612:0459,Induktion,Bd03_G-Inn,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,15,Entdeckungszusammenhang/,Entdeckungszusammenhang/ Begründungszusammenhang,slash_half,Bd02_C-F:0348:0403,Entdeckungszusammenhang/Begründungszusammenhang,Bd02_C-F,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,16,Pragmatismus,"Pragmatismus angesehen, wie in den",cross_volume,Bd06_O-Ra:0431:0310,Pragmatismus,Bd06_O-Ra,1,0,
Bd01_A-B:0033:0010,Abduktion,Bd01_A-B,17,Wissenschaftstheorie,"Wissenschaftstheorie, sofern man sie nicht in den Bereich der praktischen, d",cross_volume,Bd08_Th-Z:0575:0541,Wissenschaftstheorie,Bd08_Th-Z,1,0,
Bd01_A-B:0034:0011,ab esse ad posse valet consequentia,Bd01_A-B,0,consequentiae,consequentiae,cross_volume,Bd02_C-F:0108:0116,consequentiae,Bd02_C-F,1,0,
Bd01_A-B:0034:0011,ab esse ad posse valet consequentia,Bd01_A-B,1,möglich/Möglichkeit,möglich/Möglichkeit,slash_half,Bd05_Log-N:0452:0349,möglich/Möglichkeit,Bd05_Log-N,1,0,
Bd01_A-B:0034:0011,ab esse ad posse valet consequentia,Bd01_A-B,2,Modallogik,Modallogik,cross_volume,Bd05_Log-N:0439:0336,Modallogik,Bd05_Log-N,1,0,
Bd01_A-B:0034:0012,Abfolge,Bd01_A-B,0,Relator,"Relator, der sich auf Sätze bezieht",cross_volume,Bd07_Re-Te:0108:0082,Relator,Bd07_Re-Te,1,0,
Bd01_A-B:0034:0012,Abfolge,Bd01_A-B,1,Subjunktion,Subjunktion,cross_volume,Bd07_Re-Te:0593:0483,Subjunktion,Bd07_Re-Te,1,0,
Bd01_A-B:0034:0012,Abfolge,Bd01_A-B,2,Folgerung,Folgerung besteht daher die A,cross_volume,Bd02_C-F:0536:0597,Folgerung,Bd02_C-F,1,0,
Bd01_A-B:0034:0012,Abfolge,Bd01_A-B,3,demonstratio,demonstratio propter quid/demonstratio quia,cross_volume,Bd02_C-F:0169:0190,demonstratio propter quid/demonstratio quia,Bd02_C-F,4,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,0,Logik,"Logik, formale",cross_volume,Bd05_Log-N:0050:0022,"Logik, formale",Bd05_Log-N,2,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,1,Mengenlehre,"Mengenlehre,",cross_volume,Bd05_Log-N:0350:0246,Mengenlehre,Bd05_Log-N,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,2,Topologie,Topologie und,cross_volume,Bd08_Th-Z:0117:0060,Topologie,Bd08_Th-Z,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,3,Algebra,Algebra,same_volume,Bd01_A-B:0113:0137,Algebra,Bd01_A-B,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,4,Prädikatenlogik,Prädikatenlogik heißt eine,cross_volume,Bd06_O-Ra:0414:0299,Prädikatenlogik,Bd06_O-Ra,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,5,Formel,Formel a,cross_volume,Bd02_C-F:0547:0611,Formel,Bd02_C-F,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,6,Aussage,Aussage ist (z,same_volume,Bd01_A-B:0324:0413,Aussage,Bd01_A-B,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,7,Abbildung,Abbildung des n-fachen cartesischen Produkts M<sup>n</sup> in M,same_volume,Bd01_A-B:0032:0008,Abbildung,Bd01_A-B,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,8,Topologie,"Topologie auf einer Menge X, so heißt eine Teilmenge M ˝ X a",cross_volume,Bd08_Th-Z:0117:0060,Topologie,Bd08_Th-Z,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,9,Umgebung,Umgebung wenigstens einen Punkt von N enthält,cross_volume,Bd08_Th-Z:0183:0135,Umgebung,Bd08_Th-Z,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,10,Körper,Körper (mathematisch,cross_volume,Bd04_Ins-Loc:0382:0298,Körper (mathematisch),Bd04_Ins-Loc,2,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,11,Fundamentalsatz,Fundamentalsatz der Algebra,cross_volume,Bd02_C-F:0607:0647,Fundamentalsatz der Algebra,Bd02_C-F,3,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,12,Zahlensystem,Zahlensystem,cross_volume,Bd08_Th-Z:0655:0579,Zahlensystem,Bd08_Th-Z,1,0,
Bd01_A-B:0035:0013,abgeschlossen/Abgeschlossenheit,Bd01_A-B,13,isomorph/Isomorphie,isomorph/Isomorphie,slash_half,Bd04_Ins-Loc:0100:0055,isomorph/Isomorphie,Bd04_Ins-Loc,1,0,
Bd01_A-B:0035:0014,Abgrenzungskriterium,Bd01_A-B,0,Falsifikation,Falsifikation,cross_volume,Bd02_C-F:0490:0543,Falsifikation,Bd02_C-F,1,0,
